_content_cmd,_content_data_random_delay_req_v2,_content_data_exit_no_refresh,_content_data_ttl,_content_data_threshold,_msg_type,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
HOT_ROOM_NOTIFY,[{'path': '/live/getRoundPlayVideo', 'delay': 10}, {'path': '/xlive/web-room/v1/index/getOffLiveList', 'delay': 120000}],1,300,10000,other,
